id,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,day,month,year
JMAN_9023149,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_2481177,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9001356,17,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_2470297,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_11604060,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_2390400,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_2464269,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9001380,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_9021651,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2449317,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2472373,0,1.1666666666666667,,1,0,1,1,0,0,10,3,2023
JMAN_2452751,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2457731,0,1.0,0.0,1,0,1,1,0,0,31,3,2023
JMAN_2450544,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_9021157,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_2447191,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_1286382,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_2478470,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9036591,17,1.0,3.0,1,0,1,0,0,1,20,1,2023
JMAN_2331419,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2475429,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_2475334,0,1.0,0.0,1,0,1,1,0,0,31,3,2023
JMAN_2479512,13,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_9032708,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2461834,17,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_2445795,0,1.0,0.0,1,0,1,1,0,0,31,3,2023
JMAN_2469134,16,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_2447281,17,1.5,2.0,1,0,1,0,0,1,17,2,2023
JMAN_11633303,44,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_2445669,0,1.1333333333333333,1.0,1,0,1,0,1,0,3,3,2023
JMAN_18362858,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_2375196,0,1.0,1.0,1,0,1,0,1,0,27,1,2023
JMAN_9892189,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_9031450,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2483334,0,1.1,,1,0,1,1,0,0,10,3,2023
JMAN_2475019,17,1.0,2.0,1,1,1,0,0,1,20,1,2023
JMAN_9471063,13,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_2478834,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_16385554,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9005021,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2476115,17,1.0,3.0,1,0,1,0,0,1,17,2,2023
JMAN_9051235,17,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_9391855,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_9018166,0,1.0,0.0,1,0,1,1,0,0,13,1,2023
JMAN_9897409,11,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_18410412,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_2461712,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2472640,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_2469134,15,1.5,3.0,1,0,1,0,0,1,27,1,2023
JMAN_2464850,0,0.1666666666666666,,1,0,1,1,0,0,10,2,2023
JMAN_2442325,0,1.0,0.0,1,0,0,1,0,0,13,1,2023
JMAN_9008468,17,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_109835,44,1.0,3.0,1,0,1,0,0,1,13,1,2023
JMAN_9075221,16,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_18410830,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9022859,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_9031253,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_9003316,17,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_2468132,0,0.3333333333333333,1.0,1,0,1,0,1,0,24,2,2023
JMAN_9036732,17,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_2482605,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_9059722,16,0.8461538461538461,3.0,0,1,1,0,0,1,13,1,2023
JMAN_2351429,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_18127929,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_2462717,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_9034076,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_9034076,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9004072,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_18390619,17,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_2453359,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_10148809,14,1.0,3.0,1,0,1,0,0,1,24,2,2023
JMAN_9029612,0,1.0,1.0,1,0,0,0,1,0,13,1,2023
JMAN_10715453,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_2449949,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_16164717,0,1.0,,1,1,1,1,0,0,3,2,2023
